= Coverage for C:\Users\OleJohanBondahl\Documents\GitHub_ZEN\Schematika\src\schematika\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                          |      Status |
| CircuitBuilder._resolve_port_ref_to_pole (L980)               |     COVERED |
| CircuitBuilder.add_connection (L1015)                         |     COVERED |
| CircuitBuilder._validate_connections (L1052)                  |     COVERED |
| CircuitBuilder._build_effective_tag_generators (L1069)        |     COVERED |
| CircuitBuilder._build_terminal_reuse_generators (L1101)       |     COVERED |
| CircuitBuilder._derive_bridge_groups (L1121)                  |     COVERED |
| CircuitBuilder.build (L1157)                                  |     COVERED |
| CircuitBuilder.build.single_instance_gen (L1244)              |      MISSED |
| CircuitBuilder._check_built (L1351)                           |      MISSED |
| CircuitBuilder.result (L1359)                                 |      MISSED |
| CircuitBuilder.state (L1363)                                  |      MISSED |
| CircuitBuilder.circuit (L1367)                                |      MISSED |
| CircuitBuilder.used_terminals (L1371)                         |      MISSED |
| CircuitBuilder.component_map (L1375)                          |      MISSED |
| CircuitBuilder.terminal_pin_map (L1379)                       |      MISSED |
| CircuitBuilder.device_registry (L1383)                        |      MISSED |
| CircuitBuilder.wire_connections (L1387)                       |      MISSED |
| CircuitBuilder.bridge_groups (L1391)                          |      MISSED |
| CircuitBuilder.reuse_tags (L1398)                             |      MISSED |
| CircuitBuilder.reuse_terminals (L1401)                        |      MISSED |
| CircuitBuilder.merge (L1409)                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\builder_models.py (module)                         |     COVERED |
| BridgeMode (L11)                                              |     COVERED |
| LayoutConfig (L36)                                            |     COVERED |
| ComponentSpec (L47)                                           |     COVERED |
| ComponentSpec.get_y_increment (L94)                           |      MISSED |
| PlannedConnection (L99)                                       |     COVERED |
| CircuitSpec (L113)                                            |     COVERED |
| PortRef (L137)                                                |     COVERED |
| ComponentRef (L145)                                           |     COVERED |
| ComponentRef.pin (L152)                                       |     COVERED |
| ComponentRef.pole (L156)                                      |     COVERED |
| merge_reuse_tags (L161)                                       |     COVERED |
| BuildResult (L174)                                            |     COVERED |
| BuildResult.__iter__ (L187)                                   |      MISSED |
| BuildResult.component_tag (L190)                              |     COVERED |
| BuildResult.component_tags (L210)                             |     COVERED |
| BuildResult.get_symbol (L222)                                 |     COVERED |
| BuildResult.get_symbols (L246)                                |     COVERED |
| BuildResult.reuse_tags (L263)                                 |     COVERED |
| BuildResult.reuse_tags.generator (L278)                       |      MISSED |
| BuildResult.reuse_terminals (L292)                            |     COVERED |
| BuildResult.reuse_terminals.generator (L300)                  |      MISSED |
|---------------------------------------------------------------|-------------|
| electrical\builder_phases.py (module)                         |     COVERED |
| _phase1_tag_and_state (L35)                                   |     COVERED |
| _phase2_register_connections (L147)                           |     COVERED |
| _phase3_instantiate_symbols (L308)                            |     COVERED |
| _phase4_render_graphics (L410)                                |     COVERED |
| _create_single_circuit_from_spec (L536)                       |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\builder_utils.py (module)                          |     COVERED |
| merge_build_results (L19)                                     |     COVERED |
| _merge_dict_of_lists (L62)                                    |     COVERED |
| _infer_default_pins (L71)                                     |     COVERED |
| _distribute_pins (L112)                                       |     COVERED |
| _get_absolute_x_offset (L174)                                 |     COVERED |
| _find_port (L187)                                             |     COVERED |
| _resolve_pin (L217)                                           |     COVERED |
| _resolve_registry_pin (L283)                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\cable_export.py (module)                           |     COVERED |
| _connector_override (L26)                                     |     COVERED |
| _write_cable_group (L44)                                      |     COVERED |
| _write_multi_cable_device (L74)                               |     COVERED |
| _write_single_cable_device (L103)                             |     COVERED |
| generate_cable_csv (L122)                                     |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\descriptors.py (module)                            |     COVERED |
| RefDescriptor (L31)                                           |     COVERED |
| CompDescriptor (L38)                                          |     COVERED |
| TermDescriptor (L47)                                          |     COVERED |
| ref (L55)                                                     |     COVERED |
| comp (L60)                                                    |     COVERED |
| term (L67)                                                    |     COVERED |
| build_from_descriptors (L77)                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\exceptions.py (module)                             |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\field_devices.py (module)                          |     COVERED |
| ConnectorData (L85)                                           |     COVERED |
| CableData (L103)                                              |     COVERED |
| DeviceCable (L121)                                            |     COVERED |
| FieldDevice (L137)                                            |     COVERED |
| PinDef (L157)                                                 |     COVERED |
| SequentialPin (L188)                                          |     COVERED |
| SequentialPin.__post_init__ (L195)                            |      MISSED |
| PrefixedPin (L209)                                            |     COVERED |
| PrefixedPin.__post_init__ (L216)                              |      MISSED |
| FixedPin (L229)                                               |     COVERED |
| FixedPin.__post_init__ (L236)                                 |      MISSED |
| DeviceTemplate (L249)                                         |     COVERED |
| _resolve_terminal_pin (L266)                                  |     COVERED |
| _build_reuse_iters (L320)                                     |     COVERED |
| _build_template_reuse (L344)                                  |     COVERED |
| generate_field_connections (L393)                             |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\inter_device.py (module)                           |     COVERED |
| InterDeviceConnection (L67)                                   |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\internal_device.py (module)                        |     COVERED |
| InternalDevice (L9)                                           |     COVERED |
|---------------------------------------------------------------|-------------|
| electrical\plc_resolver.py (module)                           |     COVERED |
| PlcModuleType (L34)                                           |     COVERED |
| PlcDesignation (L68)                                          |     COVERED |
| PlcDesignation.parse (L86)                                    |     COVERED |
| PlcDesignation.__str__ (L123)                                 |     COVERED |
| _parse_plc_tag (L133)                                         |     COVERED |
| _find_modules_for_type (L145)                                 |     COVERED |
| _get_used_channels (L167)                                     |     COVERED |
| _assign_connections_to_modules (L196)                         |     COVERED |
| _assign_multi_pin_connections (L243)                          |     COVERED |
| _resolve_single_pin_external (L318)                           |     COVERED |
| _resolve_multi_pin_external (L359)                            |     COVERED |
| resolve_plc_references (L429)                                 |     COVERED |
| extract_plc_connections_from_registry (L499)                  |     COVERED |
| generate_plc_report_rows (L555)                               |     COVERED |
